common_name,species_included,lower_depth,upper_depth,depth_source
Pink Salmon,Oncorhynchus gorbuscha,250,0,fishbase
blue & black rockfish,"Sebastes mystinus, Sebastes melanops",550,0,fishbase
copper & quillback rockfish,"Sebastes caurinus, Sebastes maliger",366,0,fishbase
sablefish,Anoplopoma fimbria,2740,175,fishbase
Razor Clam,Siliqua patula,55,0,sealifebase
Red urchin,Strongylocentrotus franciscanus,125,0,sealifebase
Dungeness crab,Cancer magister,360,0,sealifebase
Ochre star,Pisaster ochraceus,90,0,sealifebase
Canopy−forming Kelp,"Macrocystis pyrifera, Laminaria sacchirina, Nereocystis luetkeana",30,0,SIMoN
seagrass,Zostera marina,10,0,SIMoN